Day,Date,Last Price,Volume,SMAVG(15)
Th,8/31/17,143.03,3.656M,3.505M
We,8/30/17,142.56,2.736M,3.563M
Tu,8/29/17,143.14,3.01M,3.576M
Mo,8/28/17,142.51,5.134M,3.595M
,,,,
Fr,8/25/17,143.74,2.873M,3.561M
Th,8/24/17,142.94,3.592M,3.539M
We,8/23/17,142.14,4.048M,3.502M
Tu,8/22/17,141.01,2.544M,3.468M
Mo,8/21/17,140.33,3.191M,3.513M
,,,,
Fr,8/18/17,139.7,4.153M,3.591M
Th,8/17/17,140.7,4.422M,3.518M
We,8/16/17,142.5,3.288M,3.652M
Tu,8/15/17,142.07,4.682M,3.695M
Mo,8/14/17,142.32,2.249M,3.663M
,,,,
Fr,8/11/17,141.84,3.004M,3.772M
Th,8/10/17,141.84,4.525M,4.006M
We,8/9/17,141.77,2.926M,4.185M
Tu,8/8/17,142.11,3.299M,4.943M
Mo,8/7/17,143.47,4.618M,5.227M
,,,,
Fr,8/4/17,145.16,2.549M,5.237M
Th,8/3/17,144.94,3.035M,5.284M
We,8/2/17,144.45,3.541M,5.247M
Tu,8/1/17,145.3,3.219M,5.217M
Mo,7/31/17,144.67,4.356M,5.232M
,,,,
Fr,7/28/17,144.29,3.055M,5.156M
Th,7/27/17,145.07,6.431M,5.116M
We,7/26/17,145.36,3.932M,4.871M
Tu,7/25/17,146.19,4.209M,4.846M
Mo,7/24/17,145.99,3.878M,4.754M
,,,,
Fr,7/21/17,147.08,6.509M,4.734M
Th,7/20/17,147.66,7.212M,4.517M
We,7/19/17,147.53,14.294M,4.184M
Tu,7/18/17,154,7.567M,3.391M
Mo,7/17/17,153.01,4.763M,3.03M
,,,,
Fr,7/14/17,154.24,3.256M,2.931M
Th,7/13/17,153.63,2.476M,2.872M
We,7/12/17,153.7,3.098M,2.971M
Tu,7/11/17,153.19,3.448M,3.064M
Mo,7/10/17,153.42,3.206M,3.142M
,,,,
Fr,7/7/17,152.94,2.46M,3.378M
Th,7/6/17,152.36,2.758M,3.524M
We,7/5/17,153.67,3.564M,3.544M
Mo,7/3/17,155.58,2.823M,3.541M
,,,,
Fr,6/30/17,153.83,3.572M,3.784M
Th,6/29/17,154.13,3.262M,3.837M
We,6/28/17,155.32,2.221M,3.867M
Tu,6/27/17,154.75,2.386M,4.043M
Mo,6/26/17,155.23,2.153M,4.137M
,,,,
Fr,6/23/17,154.11,3.282M,4.259M
Th,6/22/17,154.4,2.377M,4.279M
We,6/21/17,153.79,3.96M,4.315M
Tu,6/20/17,154.95,4.482M,4.287M
Mo,6/19/17,154.84,4.63M,4.233M
,,,,
Fr,6/16/17,155.38,6.742M,4.087M
Th,6/15/17,154.22,4.654M,3.81M
We,6/14/17,153.81,3.05M,3.748M
Tu,6/13/17,154.25,3.524M,3.716M
Mo,6/12/17,155.18,6.471M,3.701M
,,,,
Fr,6/9/17,154.1,4.361M,3.646M
Th,6/8/17,152.1,3.709M,3.574M
We,6/7/17,150.98,4.866M,3.672M
Tu,6/6/17,152.37,3.797M,3.716M
Mo,6/5/17,152.41,3.975M,3.746M
,,,,
Fr,6/2/17,152.05,3.586M,3.728M
