Category: Investing,
,
Day,Dell stock: (Worldwide)
4/9/2017,0
4/8/2017,0
4/7/2017,80
4/6/2017,78
4/5/2017,0
4/4/2017,78
4/3/2017,77
4/2/2017,0
4/1/2017,45
3/31/2017,41
3/30/2017,80
3/29/2017,39
3/28/2017,0
3/27/2017,0
3/26/2017,0
3/25/2017,0
3/24/2017,0
3/23/2017,0
3/22/2017,0
3/21/2017,30
3/20/2017,0
3/19/2017,0
3/18/2017,0
3/17/2017,32
3/16/2017,30
3/15/2017,0
3/14/2017,0
3/13/2017,56
3/12/2017,0
3/11/2017,0
3/10/2017,0
3/9/2017,0
3/8/2017,0
3/7/2017,0
3/6/2017,0
3/5/2017,34
3/4/2017,0
3/3/2017,31
3/2/2017,0
3/1/2017,29
2/28/2017,0
2/27/2017,29
2/26/2017,34
2/25/2017,0
2/24/2017,63
2/23/2017,31
2/22/2017,0
2/21/2017,60
2/20/2017,0
2/19/2017,0
2/18/2017,0
2/17/2017,61
2/16/2017,30
2/15/2017,31
2/14/2017,0
2/13/2017,0
2/12/2017,0
2/11/2017,35
2/10/2017,0
2/9/2017,31
2/8/2017,60
2/7/2017,30
2/6/2017,30
2/5/2017,0
2/4/2017,0
2/3/2017,32
2/2/2017,31
2/1/2017,0
1/31/2017,0
1/30/2017,0
1/29/2017,0
1/28/2017,0
1/27/2017,0
1/26/2017,0
1/25/2017,31
1/24/2017,0
1/23/2017,30
1/22/2017,0
1/21/2017,35
1/20/2017,0
1/19/2017,0
1/18/2017,30
1/17/2017,30
1/16/2017,0
1/15/2017,0
1/14/2017,36
1/13/2017,64
1/12/2017,0
1/11/2017,0
1/10/2017,31
1/9/2017,0
1/8/2017,0
1/7/2017,0
1/6/2017,0
1/5/2017,32
1/4/2017,32
1/3/2017,0
1/2/2017,0
1/1/2017,0
12/31/2016,0
12/30/2016,0
12/29/2016,34
12/28/2016,34
12/27/2016,0
12/26/2016,0
12/25/2016,0
12/24/2016,0
12/23/2016,0
12/22/2016,34
12/21/2016,0
12/20/2016,65
12/19/2016,0
12/18/2016,0
12/17/2016,0
12/16/2016,0
12/15/2016,97
12/14/2016,63
12/13/2016,0
12/12/2016,31
12/11/2016,35
12/10/2016,0
12/9/2016,0
12/8/2016,0
12/7/2016,31
12/6/2016,31
12/5/2016,86
12/4/2016,0
12/3/2016,0
12/2/2016,0
12/1/2016,0
11/30/2016,0
11/29/2016,0
11/28/2016,0
11/27/2016,36
11/26/2016,37
11/25/2016,0
11/24/2016,34
11/23/2016,33
11/22/2016,33
11/21/2016,32
11/20/2016,0
11/19/2016,0
11/18/2016,0
11/17/2016,0
11/16/2016,0
11/15/2016,0
11/14/2016,0
11/13/2016,37
11/12/2016,0
11/11/2016,0
11/10/2016,0
11/9/2016,90
11/8/2016,0
11/7/2016,0
11/6/2016,0
11/5/2016,0
11/4/2016,0
11/3/2016,66
11/2/2016,67
11/1/2016,34
10/31/2016,68
10/30/2016,0
10/29/2016,0
10/28/2016,35
10/27/2016,0
10/26/2016,33
10/25/2016,32
10/24/2016,0
10/23/2016,0
10/22/2016,0
10/21/2016,0
10/20/2016,0
10/19/2016,0
10/18/2016,0
10/17/2016,0
10/16/2016,0
10/15/2016,0
10/14/2016,0
10/13/2016,0
10/12/2016,0
10/11/2016,0
10/10/2016,33
10/9/2016,0
10/8/2016,39
10/7/2016,69
10/6/2016,0
10/5/2016,100
10/4/2016,0
10/3/2016,33
10/2/2016,0
10/1/2016,0
9/30/2016,0
9/29/2016,34
9/28/2016,33
9/27/2016,0
9/26/2016,24
9/25/2016,28
9/24/2016,0
9/23/2016,0
9/22/2016,24
9/21/2016,0
9/20/2016,71
9/19/2016,48
9/18/2016,0
9/17/2016,28
9/16/2016,0
9/15/2016,25
9/14/2016,0
9/13/2016,24
9/12/2016,75
9/11/2016,0
9/10/2016,0
9/9/2016,51
9/8/2016,99
9/7/2016,100
9/6/2016,0
9/5/2016,25
9/4/2016,0
9/3/2016,0
9/2/2016,0
9/1/2016,0
8/31/2016,25
8/30/2016,24
8/29/2016,0
8/28/2016,0
8/27/2016,29
8/26/2016,0
8/25/2016,25
8/24/2016,0
8/23/2016,26
8/22/2016,0
8/21/2016,0
8/20/2016,0
8/19/2016,28
8/18/2016,27
8/17/2016,0
8/16/2016,27
8/15/2016,0
8/14/2016,0
8/13/2016,0
8/12/2016,0
8/11/2016,0
8/10/2016,0
8/9/2016,0
8/8/2016,0
8/7/2016,0
8/6/2016,0
8/5/2016,81
8/4/2016,25
8/3/2016,0
8/2/2016,0
8/1/2016,0
