Category: Investing,
,
Day,Seagate stock: (Worldwide)
4/9/2017,17
4/8/2017,0
4/7/2017,15
4/6/2017,43
4/5/2017,43
4/4/2017,0
4/3/2017,14
4/2/2017,0
4/1/2017,17
3/31/2017,15
3/30/2017,44
3/29/2017,15
3/28/2017,0
3/27/2017,22
3/26/2017,0
3/25/2017,0
3/24/2017,51
3/23/2017,37
3/22/2017,61
3/21/2017,61
3/20/2017,49
3/19/2017,28
3/18/2017,42
3/17/2017,0
3/16/2017,25
3/15/2017,24
3/14/2017,24
3/13/2017,91
3/12/2017,27
3/11/2017,28
3/10/2017,25
3/9/2017,24
3/8/2017,48
3/7/2017,23
3/6/2017,23
3/5/2017,27
3/4/2017,0
3/3/2017,25
3/2/2017,48
3/1/2017,0
2/28/2017,48
2/27/2017,48
2/26/2017,28
2/25/2017,29
2/24/2017,0
2/23/2017,25
2/22/2017,0
2/21/2017,0
2/20/2017,24
2/19/2017,57
2/18/2017,28
2/17/2017,37
2/16/2017,49
2/15/2017,50
2/14/2017,49
2/13/2017,96
2/12/2017,0
2/11/2017,28
2/10/2017,52
2/9/2017,75
2/8/2017,62
2/7/2017,73
2/6/2017,37
2/5/2017,0
2/4/2017,0
2/3/2017,0
2/2/2017,0
2/1/2017,36
1/31/2017,25
1/30/2017,25
1/29/2017,0
1/28/2017,29
1/27/2017,26
1/26/2017,100
1/25/2017,100
1/24/2017,74
1/23/2017,25
1/22/2017,0
1/21/2017,0
1/20/2017,26
1/19/2017,0
1/18/2017,25
1/17/2017,25
1/16/2017,0
1/15/2017,0
1/14/2017,0
1/13/2017,26
1/12/2017,0
1/11/2017,0
1/10/2017,25
1/9/2017,0
1/8/2017,0
1/7/2017,0
1/6/2017,27
1/5/2017,26
1/4/2017,0
1/3/2017,26
1/2/2017,27
1/1/2017,66
12/31/2016,0
12/30/2016,0
12/29/2016,28
12/28/2016,28
12/27/2016,0
12/26/2016,0
12/25/2016,34
12/24/2016,0
12/23/2016,29
12/22/2016,0
12/21/2016,27
12/20/2016,0
12/19/2016,27
12/18/2016,0
12/17/2016,31
12/16/2016,42
12/15/2016,53
12/14/2016,39
12/13/2016,25
12/12/2016,75
12/11/2016,0
12/10/2016,0
12/9/2016,0
12/8/2016,78
12/7/2016,0
12/6/2016,25
12/5/2016,47
12/4/2016,0
12/3/2016,0
12/2/2016,0
12/1/2016,26
11/30/2016,0
11/29/2016,76
11/28/2016,25
11/27/2016,0
11/26/2016,0
11/25/2016,27
11/24/2016,27
11/23/2016,27
11/22/2016,0
11/21/2016,0
11/20/2016,0
11/19/2016,0
11/18/2016,28
11/17/2016,27
11/16/2016,54
11/15/2016,27
11/14/2016,27
11/13/2016,0
11/12/2016,62
11/11/2016,28
11/10/2016,27
11/9/2016,49
11/8/2016,26
11/7/2016,0
11/6/2016,0
11/5/2016,31
11/4/2016,28
11/3/2016,0
11/2/2016,55
11/1/2016,28
10/31/2016,0
10/30/2016,0
10/29/2016,63
10/28/2016,0
10/27/2016,27
10/26/2016,27
10/25/2016,40
10/24/2016,27
10/23/2016,0
10/22/2016,0
10/21/2016,0
10/20/2016,54
10/19/2016,40
10/18/2016,27
10/17/2016,27
10/16/2016,0
10/15/2016,0
10/14/2016,56
10/13/2016,82
10/12/2016,0
10/11/2016,41
10/10/2016,27
10/9/2016,0
10/8/2016,32
10/7/2016,42
10/6/2016,0
10/5/2016,0
10/4/2016,27
10/3/2016,0
10/2/2016,0
10/1/2016,31
9/30/2016,0
9/29/2016,27
9/28/2016,68
9/27/2016,18
9/26/2016,0
9/25/2016,0
9/24/2016,0
9/23/2016,19
9/22/2016,0
9/21/2016,0
9/20/2016,18
9/19/2016,18
9/18/2016,21
9/17/2016,0
9/16/2016,20
9/15/2016,38
9/14/2016,38
9/13/2016,19
9/12/2016,0
9/11/2016,0
9/10/2016,22
9/9/2016,20
9/8/2016,48
9/7/2016,29
9/6/2016,19
9/5/2016,0
9/4/2016,0
9/3/2016,0
9/2/2016,0
9/1/2016,0
8/31/2016,38
8/30/2016,19
8/29/2016,37
8/28/2016,0
8/27/2016,22
8/26/2016,20
8/25/2016,19
8/24/2016,20
8/23/2016,50
8/22/2016,40
8/21/2016,0
8/20/2016,0
8/19/2016,0
8/18/2016,21
8/17/2016,20
8/16/2016,20
8/15/2016,21
8/14/2016,0
8/13/2016,0
8/12/2016,21
8/11/2016,31
8/10/2016,20
8/9/2016,59
8/8/2016,30
8/7/2016,23
8/6/2016,24
8/5/2016,42
8/4/2016,0
8/3/2016,19
8/2/2016,57
8/1/2016,19
7/31/2016,22
7/30/2016,23
7/29/2016,20
7/28/2016,39
7/27/2016,0
7/26/2016,19
7/25/2016,19
7/24/2016,0
7/23/2016,0
7/22/2016,20
7/21/2016,39
7/20/2016,0
7/19/2016,19
7/18/2016,19
7/17/2016,23
7/16/2016,0
7/15/2016,20
7/14/2016,46
7/13/2016,78
7/12/2016,87
7/11/2016,0
7/10/2016,22
7/9/2016,0
7/8/2016,20
7/7/2016,30
7/6/2016,20
7/5/2016,39
7/4/2016,20
7/3/2016,0
7/2/2016,22
7/1/2016,0
6/30/2016,38
6/29/2016,28
6/28/2016,37
6/27/2016,0
6/26/2016,21
6/25/2016,0
6/24/2016,29
6/23/2016,38
6/22/2016,18
6/21/2016,18
6/20/2016,36
6/19/2016,0
6/18/2016,0
6/17/2016,0
6/16/2016,18
6/15/2016,0
6/14/2016,18
6/13/2016,18
6/12/2016,0
6/11/2016,0
6/10/2016,19
6/9/2016,37
6/8/2016,18
6/7/2016,37
6/6/2016,18
6/5/2016,0
6/4/2016,21
6/3/2016,0
