Category: Investing,
,
Day,WD stock: (Worldwide)
7/31/2016,0
7/30/2016,0
7/29/2016,88
7/28/2016,0
7/27/2016,0
7/26/2016,0
7/25/2016,0
7/24/2016,0
7/23/2016,0
7/22/2016,0
7/21/2016,0
7/20/2016,0
7/19/2016,0
7/18/2016,0
7/17/2016,0
7/16/2016,0
7/15/2016,0
7/14/2016,0
7/13/2016,0
7/12/2016,0
7/11/2016,0
7/10/2016,0
7/9/2016,0
7/8/2016,0
7/7/2016,0
7/6/2016,0
7/5/2016,0
7/4/2016,0
7/3/2016,0
7/2/2016,0
7/1/2016,0
6/30/2016,82
6/29/2016,80
6/28/2016,0
6/27/2016,0
6/26/2016,0
6/25/2016,0
6/24/2016,0
6/23/2016,81
6/22/2016,0
6/21/2016,0
6/20/2016,0
6/19/2016,0
6/18/2016,94
6/17/2016,0
6/16/2016,0
6/15/2016,0
6/14/2016,0
6/13/2016,0
6/12/2016,0
6/11/2016,0
6/10/2016,0
6/9/2016,0
6/8/2016,0
6/7/2016,0
6/6/2016,0
6/5/2016,0
6/4/2016,0
6/3/2016,0
6/2/2016,0
6/1/2016,0
5/31/2016,0
5/30/2016,0
5/29/2016,0
5/28/2016,0
5/27/2016,0
5/26/2016,0
5/25/2016,0
5/24/2016,0
5/23/2016,0
5/22/2016,0
5/21/2016,0
5/20/2016,82
5/19/2016,0
5/18/2016,0
5/17/2016,0
5/16/2016,78
5/15/2016,0
5/14/2016,0
5/13/2016,0
5/12/2016,0
5/11/2016,0
5/10/2016,0
5/9/2016,0
5/8/2016,92
5/7/2016,0
5/6/2016,0
5/5/2016,0
5/4/2016,0
5/3/2016,0
5/2/2016,0
5/1/2016,0
4/30/2016,92
4/29/2016,0
4/28/2016,0
4/27/2016,0
4/26/2016,0
4/25/2016,0
4/24/2016,89
4/23/2016,0
4/22/2016,0
4/21/2016,0
4/20/2016,0
4/19/2016,78
4/18/2016,0
4/17/2016,0
4/16/2016,0
4/15/2016,0
4/14/2016,0
4/13/2016,0
4/12/2016,0
4/11/2016,77
4/10/2016,0
4/9/2016,0
4/8/2016,82
4/7/2016,0
4/6/2016,0
4/5/2016,0
4/4/2016,78
4/3/2016,0
4/2/2016,0
4/1/2016,0
3/31/2016,0
3/30/2016,0
3/29/2016,0
3/28/2016,0
3/27/2016,0
3/26/2016,0
3/25/2016,0
3/24/2016,53
3/23/2016,0
3/22/2016,0
3/21/2016,0
3/20/2016,0
3/19/2016,0
3/18/2016,0
3/17/2016,0
3/16/2016,0
3/15/2016,75
3/14/2016,0
3/13/2016,0
3/12/2016,0
3/11/2016,52
3/10/2016,0
3/9/2016,0
3/8/2016,49
3/7/2016,49
3/6/2016,0
3/5/2016,57
3/4/2016,0
3/3/2016,0
3/2/2016,0
3/1/2016,49
2/29/2016,0
2/28/2016,0
2/27/2016,0
2/26/2016,52
2/25/2016,100
2/24/2016,49
2/23/2016,0
2/22/2016,0
2/21/2016,0
2/20/2016,0
2/19/2016,0
2/18/2016,50
2/17/2016,0
2/16/2016,49
2/15/2016,0
2/14/2016,0
2/13/2016,0
2/12/2016,0
2/11/2016,0
2/10/2016,0
2/9/2016,0
2/8/2016,0
2/7/2016,0
2/6/2016,0
2/5/2016,0
2/4/2016,0
2/3/2016,0
2/2/2016,0
2/1/2016,49
1/31/2016,0
1/30/2016,0
1/29/2016,52
1/28/2016,0
1/27/2016,0
1/26/2016,0
1/25/2016,0
1/24/2016,0
1/23/2016,0
1/22/2016,53
1/21/2016,0
