Category: Investing,
,
Day,IBM stock: (Worldwide)
4/7/2017,8
4/6/2017,8
4/5/2017,38
4/4/2017,8
4/3/2017,54
4/2/2017,9
4/1/2017,9
3/31/2017,8
3/30/2017,23
3/29/2017,8
3/28/2017,0
3/27/2017,85
3/26/2017,16
3/25/2017,17
3/24/2017,44
3/23/2017,43
3/22/2017,28
3/21/2017,43
3/20/2017,14
3/19/2017,16
3/18/2017,0
3/17/2017,0
3/16/2017,14
3/15/2017,14
3/14/2017,42
3/13/2017,26
3/12/2017,31
3/11/2017,0
3/10/2017,73
3/9/2017,70
3/8/2017,28
3/7/2017,54
3/6/2017,94
3/5/2017,32
3/4/2017,0
3/3/2017,58
3/2/2017,69
3/1/2017,41
2/28/2017,0
2/27/2017,69
2/26/2017,48
2/25/2017,17
2/24/2017,60
2/23/2017,57
2/22/2017,57
2/21/2017,71
2/20/2017,14
2/19/2017,0
2/18/2017,16
2/17/2017,58
2/16/2017,29
2/15/2017,43
2/14/2017,28
2/13/2017,42
2/12/2017,16
2/11/2017,0
2/10/2017,45
2/9/2017,0
2/8/2017,43
2/7/2017,84
2/6/2017,57
2/5/2017,32
2/4/2017,16
2/3/2017,30
2/2/2017,58
2/1/2017,42
1/31/2017,56
1/30/2017,14
1/29/2017,33
1/28/2017,50
1/27/2017,91
1/26/2017,87
1/25/2017,100
1/24/2017,71
1/23/2017,71
1/22/2017,0
1/21/2017,17
1/20/2017,45
1/19/2017,43
1/18/2017,86
1/17/2017,14
1/16/2017,29
1/15/2017,33
1/14/2017,0
1/13/2017,15
1/12/2017,30
1/11/2017,43
1/10/2017,58
1/9/2017,58
1/8/2017,17
1/7/2017,17
1/6/2017,31
1/5/2017,77
1/4/2017,45
1/3/2017,15
1/2/2017,0
1/1/2017,0
12/31/2016,37
12/30/2016,17
12/29/2016,32
12/28/2016,80
12/27/2016,16
12/26/2016,17
12/25/2016,19
12/24/2016,19
12/23/2016,17
12/22/2016,0
12/21/2016,32
12/20/2016,31
12/19/2016,61
12/18/2016,0
12/17/2016,18
12/16/2016,32
12/15/2016,31
12/14/2016,30
12/13/2016,44
12/12/2016,59
12/11/2016,67
12/10/2016,17
12/9/2016,31
12/8/2016,76
12/7/2016,15
12/6/2016,29
12/5/2016,41
12/4/2016,32
12/3/2016,0
12/2/2016,63
12/1/2016,60
11/30/2016,45
11/29/2016,0
11/28/2016,29
11/27/2016,0
11/26/2016,35
11/25/2016,0
11/24/2016,16
11/23/2016,62
11/22/2016,46
11/21/2016,61
11/20/2016,0
11/19/2016,18
11/18/2016,48
11/17/2016,62
11/16/2016,62
11/15/2016,15
11/14/2016,0
11/13/2016,35
11/12/2016,18
11/11/2016,33
11/10/2016,62
11/9/2016,98
11/8/2016,60
11/7/2016,15
11/6/2016,17
11/5/2016,0
11/4/2016,49
11/3/2016,47
11/2/2016,16
11/1/2016,32
10/31/2016,16
10/30/2016,36
10/29/2016,0
10/28/2016,16
10/27/2016,16
10/26/2016,31
10/25/2016,46
10/24/2016,0
10/23/2016,18
10/22/2016,18
10/21/2016,65
10/20/2016,31
10/19/2016,47
10/18/2016,46
10/17/2016,46
10/16/2016,0
10/15/2016,0
10/14/2016,16
10/13/2016,63
10/12/2016,0
10/11/2016,16
10/10/2016,47
10/9/2016,18
10/8/2016,0
10/7/2016,49
10/6/2016,32
10/5/2016,31
10/4/2016,31
10/3/2016,31
10/2/2016,0
10/1/2016,36
9/30/2016,66
9/29/2016,16
9/28/2016,47
9/27/2016,16
9/26/2016,23
9/25/2016,0
9/24/2016,13
9/23/2016,12
9/22/2016,47
9/21/2016,11
9/20/2016,34
9/19/2016,23
9/18/2016,0
9/17/2016,13
9/16/2016,24
9/15/2016,12
9/14/2016,34
9/13/2016,23
9/12/2016,24
9/11/2016,0
9/10/2016,0
9/9/2016,0
9/8/2016,12
9/7/2016,12
9/6/2016,23
9/5/2016,0
9/4/2016,0
9/3/2016,0
9/2/2016,12
9/1/2016,36
8/31/2016,23
8/30/2016,12
8/29/2016,12
8/28/2016,0
8/27/2016,0
8/26/2016,12
8/25/2016,12
8/24/2016,12
8/23/2016,12
8/22/2016,0
8/21/2016,0
8/20/2016,0
8/19/2016,13
8/18/2016,13
8/17/2016,25
8/16/2016,12
8/15/2016,39
8/14/2016,0
8/13/2016,15
8/12/2016,26
8/11/2016,0
8/10/2016,37
8/9/2016,12
8/8/2016,37
8/7/2016,29
8/6/2016,15
8/5/2016,39
8/4/2016,24
8/3/2016,0
8/2/2016,0
8/1/2016,0
7/31/2016,14
7/30/2016,14
7/29/2016,50
7/28/2016,36
7/27/2016,48
7/26/2016,35
7/25/2016,12
7/24/2016,28
7/23/2016,14
7/22/2016,24
7/21/2016,48
7/20/2016,24
7/19/2016,36
7/18/2016,60
7/17/2016,0
7/16/2016,0
7/15/2016,37
7/14/2016,23
7/13/2016,24
7/12/2016,12
7/11/2016,12
7/10/2016,0
7/9/2016,0
7/8/2016,0
7/7/2016,61
7/6/2016,24
7/5/2016,24
7/4/2016,0
7/3/2016,14
7/2/2016,0
7/1/2016,0
6/30/2016,35
6/29/2016,23
6/28/2016,11
6/27/2016,56
6/26/2016,26
6/25/2016,40
6/24/2016,47
6/23/2016,0
6/22/2016,11
6/21/2016,34
6/20/2016,11
6/19/2016,13
6/18/2016,0
6/17/2016,47
6/16/2016,34
6/15/2016,22
6/14/2016,44
6/13/2016,22
6/12/2016,0
6/11/2016,26
6/10/2016,24
6/9/2016,11
6/8/2016,11
6/7/2016,0
6/6/2016,22
6/5/2016,0
6/4/2016,0
6/3/2016,35
6/2/2016,11
6/1/2016,0
5/31/2016,22
5/30/2016,11
5/29/2016,0
5/28/2016,0
5/27/2016,0
5/26/2016,35
5/25/2016,45
5/24/2016,45
5/23/2016,22
5/22/2016,0
5/21/2016,13
5/20/2016,12
5/19/2016,45
5/18/2016,44
5/17/2016,22
5/16/2016,22
5/15/2016,13
5/14/2016,0
5/13/2016,23
5/12/2016,34
5/11/2016,44
5/10/2016,0
5/9/2016,22
5/8/2016,0
5/7/2016,13
5/6/2016,35
5/5/2016,11
5/4/2016,23
5/3/2016,33
5/2/2016,45
5/1/2016,13
4/30/2016,0
4/29/2016,35
4/28/2016,11
4/27/2016,0
4/26/2016,33
4/25/2016,22
4/24/2016,13
4/23/2016,0
4/22/2016,46
4/21/2016,57
4/20/2016,22
4/19/2016,100
4/18/2016,78
4/17/2016,38
4/16/2016,13
4/15/2016,12
4/14/2016,33
4/13/2016,11
4/12/2016,22
4/11/2016,33
4/10/2016,0
4/9/2016,13
4/8/2016,47
4/7/2016,56
4/6/2016,44
4/5/2016,22
4/4/2016,22
4/3/2016,0
4/2/2016,0
4/1/2016,35
3/31/2016,33
3/30/2016,11
3/29/2016,44
3/28/2016,58
3/27/2016,13
3/26/2016,26
3/25/2016,12
3/24/2016,68
3/23/2016,11
3/22/2016,32
3/21/2016,53
3/20/2016,0
3/19/2016,0
3/18/2016,68
3/17/2016,32
3/16/2016,32
3/15/2016,0
3/14/2016,32
3/13/2016,0
3/12/2016,12
3/11/2016,22
3/10/2016,43
3/9/2016,42
3/8/2016,31
3/7/2016,21
3/6/2016,12
3/5/2016,24
3/4/2016,11
3/3/2016,32
3/2/2016,42
3/1/2016,83
2/29/2016,41
2/28/2016,0
2/27/2016,0
2/26/2016,56
2/25/2016,21
2/24/2016,63
2/23/2016,21
2/22/2016,21
2/21/2016,0
2/20/2016,24
2/19/2016,43
2/18/2016,54
2/17/2016,11
2/16/2016,21
2/15/2016,11
2/14/2016,12
2/13/2016,25
2/12/2016,45
2/11/2016,21
2/10/2016,43
2/9/2016,33
2/8/2016,33
2/7/2016,0
2/6/2016,25
2/5/2016,23
2/4/2016,11
2/3/2016,21
2/2/2016,32
2/1/2016,31
1/31/2016,12
1/30/2016,13
1/29/2016,22
1/28/2016,54
1/27/2016,21
1/26/2016,43
1/25/2016,11
1/24/2016,24
1/23/2016,0
1/22/2016,56
1/21/2016,44
1/20/2016,87
1/19/2016,53
1/18/2016,21
1/17/2016,0
1/16/2016,50
1/15/2016,11
1/14/2016,43
1/13/2016,64
1/12/2016,42
1/11/2016,53
1/10/2016,12
1/9/2016,12
1/8/2016,34
1/7/2016,22
1/6/2016,55
1/5/2016,55
1/4/2016,11
1/3/2016,0
1/2/2016,0
1/1/2016,14
12/31/2015,12
12/30/2015,23
12/29/2015,44
12/28/2015,11
12/27/2015,0
12/26/2015,0
12/25/2015,0
12/24/2015,13
12/23/2015,0
12/22/2015,54
12/21/2015,55
12/20/2015,13
12/19/2015,13
12/18/2015,45
12/17/2015,22
12/16/2015,64
12/15/2015,42
12/14/2015,50
12/13/2015,12
12/12/2015,0
12/11/2015,22
12/10/2015,10
12/9/2015,51
12/8/2015,31
12/7/2015,10
12/6/2015,23
12/5/2015,0
12/4/2015,53
12/3/2015,31
12/2/2015,40
12/1/2015,30
11/30/2015,20
11/29/2015,0
11/28/2015,0
11/27/2015,11
11/26/2015,0
11/25/2015,20
11/24/2015,10
11/23/2015,20
11/22/2015,23
11/21/2015,12
11/20/2015,32
11/19/2015,31
11/18/2015,21
11/17/2015,41
11/16/2015,20
11/15/2015,12
11/14/2015,0
11/13/2015,53
11/12/2015,32
11/11/2015,31
11/10/2015,20
11/9/2015,20
11/8/2015,35
11/7/2015,36
11/6/2015,0
11/5/2015,52
11/4/2015,41
11/3/2015,30
11/2/2015,51
11/1/2015,0
10/31/2015,37
10/30/2015,22
10/29/2015,31
10/28/2015,10
10/27/2015,51
10/26/2015,10
10/25/2015,35
10/24/2015,12
10/23/2015,43
10/22/2015,21
10/21/2015,41
10/20/2015,100
10/19/2015,41
10/18/2015,0
10/17/2015,12
10/16/2015,43
10/15/2015,31
10/14/2015,10
10/13/2015,31
10/12/2015,42
10/11/2015,0
10/10/2015,61
10/9/2015,22
10/8/2015,52
10/7/2015,21
