Date	Price	Open	High	Low	Vol.	Change %
29-Mar-18	64.94	64.69	65.26	64.16	562.82K	0.87
28-Mar-18	64.38	64.7	65.13	63.72	697.68K	-1.33
27-Mar-18	65.25	65.53	66.41	64.53	670.81K	-0.46
26-Mar-18	65.55	65.9	66.55	65.08	585.90K	-1.29
25-Mar-18	66.41	65.88	66.54	65.66	0	0.8
23-Mar-18	65.88	64.28	66	64.11	752.99K	2.46
22-Mar-18	64.3	65.5	65.74	64.14	689.17K	-1.33
21-Mar-18	65.17	63.72	65.55	63.58	763.77K	2.79
20-Mar-18	63.4	62.1	63.81	62.08	36.06K	2.16
19-Mar-18	62.06	62.23	62.35	61.36	115.96K	-0.45
16-Mar-18	62.34	61.19	62.54	61.08	202.49K	1.88
15-Mar-18	61.19	60.95	61.54	60.82	430.20K	0.38
14-Mar-18	60.96	60.87	61.33	60.11	665.02K	0.41
13-Mar-18	60.71	61.37	61.97	60.27	747.74K	-1.06
12-Mar-18	61.36	62.1	62.33	60.67	537.99K	-1.1
9-Mar-18	62.04	60.27	62.18	60.14	659.72K	3.19
8-Mar-18	60.12	61.33	61.4	59.95	720.51K	-1.68
7-Mar-18	61.15	62.3	62.58	60.58	879.12K	-2.32
6-Mar-18	62.6	62.58	63.28	62.17	634.95K	0.05
5-Mar-18	62.57	61.55	62.79	61.1	599.27K	2.16
2-Mar-18	61.25	61.34	61.6	60.13	613.51K	0.43
1-Mar-18	60.99	61.55	61.83	60.18	812.51K	-1.05
28-Feb-18	61.64	62.79	63.44	61.36	768.41K	-2.17
27-Feb-18	63.01	64.06	64.08	62.64	562.67K	-1.41
26-Feb-18	63.91	63.6	64.24	63.06	469.85K	0.57
23-Feb-18	63.55	62.6	63.73	62.33	460.60K	1.24
22-Feb-18	62.77	61.34	63.09	60.75	592.60K	1.77
21-Feb-18	61.68	61.63	61.86	60.92	466.92K	-0.36
20-Feb-18	61.9	61.63	62.74	61.58	50.21K	-0.77
19-Feb-18	62.38	61.71	62.49	61.67	0	1.07
18-Feb-18	61.72	61.51	61.74	61.51	0	0.06
16-Feb-18	61.68	61.45	61.99	60.88	181.18K	0.55
15-Feb-18	61.34	60.71	61.64	59.72	340.40K	1.22
14-Feb-18	60.6	58.98	60.9	58.2	650.32K	2.38
13-Feb-18	59.19	59.35	59.73	58.39	580.60K	-0.17
12-Feb-18	59.29	59.12	60.83	59.1	736.92K	0.15
9-Feb-18	59.2	60.43	60.77	58.07	933.31K	-3.19
8-Feb-18	61.15	61.7	62.09	60.27	929.58K	-1.04
7-Feb-18	61.79	63.92	64.18	61.25	1.03M	-2.52
6-Feb-18	63.39	63.43	64.29	63.12	797.81K	-1.18
5-Feb-18	64.15	65.1	65.4	63.42	891.06K	-1.99
2-Feb-18	65.45	65.99	66.3	64.47	857.57K	-0.53
1-Feb-18	65.8	64.76	66.25	64.63	685.75K	1.65
31-Jan-18	64.73	64.03	64.94	63.67	613.26K	0.36
30-Jan-18	64.5	65.53	65.56	63.89	688.38K	-1.62
29-Jan-18	65.56	66.18	66.46	64.98	656.17K	-0.88
26-Jan-18	66.14	65.25	66.35	64.91	678.19K	0.96
25-Jan-18	65.51	65.88	66.66	65.08	771.76K	-0.15
24-Jan-18	65.61	64.42	66.05	64.34	887.02K	1.77
23-Jan-18	64.47	63.88	64.88	63.7	662.46K	1.54
22-Jan-18	63.49	63.61	64.14	63.17	40.06K	0.19
19-Jan-18	63.37	63.74	63.77	62.85	142.71K	-0.91
18-Jan-18	63.95	64.07	64.35	63.47	204.50K	-0.03
17-Jan-18	63.97	63.89	64.17	63.31	444.38K	0.38
16-Jan-18	63.73	64.43	64.89	63.39	867.77K	-1.54
15-Jan-18	64.73	64.28	64.89	64.11	0	0.7
14-Jan-18	64.28	64.42	64.44	64.19	0	-0.03
12-Jan-18	64.3	63.57	64.5	63.06	678.73K	0.78
11-Jan-18	63.8	63.5	64.77	63.43	876.64K	0.36
10-Jan-18	63.57	63.41	63.67	63.09	697.84K	0.97
9-Jan-18	62.96	61.92	63.48	61.8	844.72K	1.99
8-Jan-18	61.73	61.61	61.97	61.34	616.47K	0.47
5-Jan-18	61.44	61.9	62.04	61.09	563.04K	-0.92
4-Jan-18	62.01	61.96	62.21	61.59	654.36K	0.62
3-Jan-18	61.63	60.39	61.97	60.28	673.86K	2.09
2-Jan-18	60.37	60.2	60.74	60.1	510.31K	0.22
1-Jan-18	60.24	60.26	60.28	60.15	0	-0.3
29-Dec-17	60.42	59.91	60.51	59.82	464.48K	0.97
28-Dec-17	59.84	59.53	59.94	59.44	345.96K	0.34
27-Dec-17	59.64	59.79	59.93	59.33	402.40K	-0.55
26-Dec-17	59.97	58.4	60.01	58.32	437.79K	2.36
25-Dec-17	58.59	58.41	58.62	58.38	0	0.21
22-Dec-17	58.47	58.21	58.5	57.87	324.55K	0.19
21-Dec-17	58.36	58.02	58.38	57.63	405.32K	0.46
20-Dec-17	58.09	57.66	58.12	57.44	420.84K	1.1
19-Dec-17	57.46	57.3	57.64	57.16	36.29K	0.52
18-Dec-17	57.16	57.37	57.78	56.82	137.15K	-0.24
15-Dec-17	57.3	57.15	57.49	56.94	210.05K	0.46
14-Dec-17	57.04	56.7	57.22	56.09	580.57K	0.78
13-Dec-17	56.6	57.45	57.83	56.55	658.14K	-0.95
12-Dec-17	57.14	58.02	58.56	56.85	826.49K	-1.47
11-Dec-17	57.99	57.25	58.08	56.91	606.72K	1.1
8-Dec-17	57.36	56.65	57.79	56.54	681.60K	1.18
7-Dec-17	56.69	56	56.78	55.82	557.33K	1.3
6-Dec-17	55.96	57.45	57.57	55.87	678.99K	-2.88
5-Dec-17	57.62	57.48	57.92	57.08	499.25K	0.26
4-Dec-17	57.47	58.32	58.34	57.35	529.97K	-1.53
1-Dec-17	58.36	57.42	58.88	57.29	685.22K	1.67
30-Nov-17	57.4	57.41	57.98	56.82	735.13K	0.17
29-Nov-17	57.3	57.73	58.3	56.75	741.56K	-1.19
28-Nov-17	57.99	57.86	58.11	57.42	546.53K	-0.21
27-Nov-17	58.11	58.95	58.99	57.55	690.08K	-1.42
24-Nov-17	58.95	58.05	59.05	57.75	577.83K	0.98
23-Nov-17	58.38	57.97	58.58	57.76	0	0.62
22-Nov-17	58.02	57.12	58.15	57.03	837.41K	2.09
21-Nov-17	56.83	56.38	57.22	56.32	619.07K	1.32
20-Nov-17	56.09	56.69	56.76	55.57	37.70K	-0.81
17-Nov-17	56.55	55.25	56.68	55.18	184.94K	2.56
16-Nov-17	55.14	55.3	55.62	54.93	213.92K	-0.34
15-Nov-17	55.33	55.06	55.56	54.88	501.39K	-0.66
14-Nov-17	55.7	56.72	56.77	54.81	707.34K	-1.87
13-Nov-17	56.76	56.9	57.15	56.3	631.62K	0.04
10-Nov-17	56.74	57.02	57.35	56.55	541.30K	-0.75
9-Nov-17	57.17	56.85	57.53	56.69	666.95K	0.63
8-Nov-17	56.81	56.96	57.92	56.41	919.15K	-0.68
7-Nov-17	57.2	57.27	57.69	56.83	750.19K	-0.26
6-Nov-17	57.35	55.97	57.61	55.66	861.71K	3.07
3-Nov-17	55.64	54.73	55.76	54.4	614.16K	2.02
2-Nov-17	54.54	54.28	54.84	53.99	482.85K	0.44
