,Date,Day_of_Week,dell_gtrends,hp_gtrends,ibm_gtrends,seagate_gtrends,westdig_gtrends,intc_gtrends,intc_Last Price,intc_Volume,hp_Last Price,hp_Volume,ibm_Last Price,ibm_Volume,seagate_Last Price,seagate_Volume,westdig_Last Price,westdig_Volume,dow_Last Price,dow_Volume,nasdaq_Last Price,nasdaq_Volume,sandp_Last Price,sandp_Volume,,Date,EUR_USD_Price,Date,Gold_Price,Date,CLYH_Price,3/9/2018,52.189999,32727900
8,3/19/2018,1.00,35,32,31,0,0,3,50.830002,31115200,23.2,20053000,157.35,9263000,60.4,7073000,103.16,4434000,24610.91,349359000,7344.244,575578000,2712.92,634089000,1,19-Mar-18,1.2335,19-Mar-18,"1,317.80",,,3/8/2018,50.740002,29481200
11,3/16/2018,1.00,27,33,0,0,48,7,51.169998,42559800,23.51,9305000,160.26,3632000,60.09,4136000,106.45,2696000,24946.51,102685000,7481.988,490337000,2752.01,517767000,1,16-Mar-18,1.2289,16-Mar-18,"1,312.30",,,3/7/2018,51.32,31801900
12,3/15/2018,0.00,36,16,31,0,0,6,50.880001,25631200,23.48,16956000,159.61,4186000,59.57,4375000,102.23,3976000,24873.66,110557000,7481.742,518100000,2747.33,587912000,1,15-Mar-18,1.2305,15-Mar-18,"1,317.80",,,3/6/2018,50.709999,39132300
13,3/14/2018,7.00,35,0,17,0,0,9,51.860001,24993500,23.48,19627000,158.12,5063000,59.93,3246000,103.2,6893000,24758.12,99534000,7496.811,584272000,2749.48,604761000,1,14-Mar-18,1.2367,14-Mar-18,"1,325.60",,,3/5/2018,49.75,30826500
14,3/13/2018,6.00,18,0,4,16,23,10,51.779999,45573900,23.62,12893000,159.32,5022000,59.68,4784000,102.91,5762000,25007.03,102188000,7511.012,539608000,2765.31,586467000,1,13-Mar-18,1.239,13-Mar-18,"1,327.10",,,3/2/2018,48.98,33310600
15,3/12/2018,5.00,18,32,9,33,0,9,51.52,32044400,23.83,7113000,160.26,6456000,60.21,8549000,102.86,4541000,25178.61,88859000,7588.325,562440000,2783.02,580605000,1,12-Mar-18,1.2334,12-Mar-18,"1,320.80",,,3/1/2018,47.84,36326600
18,3/9/2018,6.00,28,0,9,51,49,12,52.189999,32727900,24.65,9878000,159.31,3686000,60.19,3798000,99.55,6005000,25335.74,93405000,7560.811,550174000,2786.57,569776000,1,9-Mar-18,1.2307,9-Mar-18,"1,324.00",,,2/28/2018,49.290001,35541200
19,3/8/2018,6.00,27,16,4,49,0,10,50.740002,29481200,23.95,10034000,156.21,3671000,58.88,4328000,97.22,6594000,24895.21,105005000,7427.946,546330000,2738.97,559826000,1,8-Mar-18,1.2312,8-Mar-18,"1,321.70",,,2/27/2018,49.91,43624100
20,3/7/2018,5.00,18,32,13,49,23,5,51.32,31801900,24.04,10113000,158.32,3261000,56.3,3143000,95.27,3411000,24801.36,120190000,7396.649,510518000,2726.8,619738000,1,7-Mar-18,1.2413,7-Mar-18,"1,327.60",19-Mar-18,26.48,2/26/2018,49.110001,26992300
21,3/6/2018,4.00,35,16,4,16,23,8,50.709999,39132300,23.95,12042000,155.72,4039000,56.23,5929000,93.8,2505000,24884.12,135696000,7372.007,564020000,2728.12,646045000,1,6-Mar-18,1.2404,6-Mar-18,"1,335.20",16-Mar-18,26.5,2/23/2018,47.73,26040900
22,3/5/2018,3.00,35,0,35,16,0,10,49.75,30826500,23.69,13426000,156.95,3804000,55.14,4306000,89.95,3554000,24874.76,135542000,7330.705,596208000,2720.94,737842000,1,5-Mar-18,1.2336,5-Mar-18,"1,319.90",15-Mar-18,26.4578,2/22/2018,45.799999,16946400
25,3/2/2018,7.00,18,0,23,0,24,6,48.98,33310600,23.57,21394000,154.49,3610000,54.12,2972000,88.25,3411000,24538.06,123398000,7257.867,532821000,2691.25,621882000,1,28-Feb-18,1.2194,28-Feb-18,"1,317.90",12-Mar-18,26.5,2/16/2018,45.560001,21475200
26,3/1/2018,6.00,35,31,4,0,0,6,47.84,36326600,23.35,22297000,153.81,3256000,54,3214000,87.27,2757000,24608.98,91400000,7180.562,450924000,2677.67,559643000,1,27-Feb-18,1.2232,27-Feb-18,"1,318.60",9-Mar-18,26.4188,2/15/2018,45.919998,23536800
27,2/28/2018,5.00,26,31,9,16,0,8,49.290001,35541200,23.39,10726000,155.83,4025000,53.4,2121000,87.04,4260000,25029.2,96387000,7273.009,446872000,2713.83,488629000,1,26-Feb-18,1.2318,26-Feb-18,"1,332.80",8-Mar-18,26.45,2/14/2018,45.380001,19922000
28,2/27/2018,4.00,26,47,9,32,0,7,49.91,43624100,23.52,7528000,156.55,3729000,52.87,2345000,87.19,2271000,25410.03,124435000,7330.354,467278000,2744.28,539433000,1,23-Feb-18,1.2293,23-Feb-18,"1,330.30",7-Mar-18,26.3216,2/13/2018,44.459999,19517600
29,2/26/2018,3.00,26,31,17,0,0,5,49.110001,26992300,23.46,8085000,158.58,4490000,53.55,2636000,89.22,2586000,25709.27,103981000,7421.463,478004000,2779.6,594961000,1,22-Feb-18,1.2331,22-Feb-18,"1,332.70",6-Mar-18,26.26,2/12/2018,44.830002,28379500
32,2/23/2018,7.00,28,83,18,34,24,5,47.73,26040900,22.13,8134000,155.52,5624000,53.29,3208000,89.14,2997000,25309.99,110596000,7337.391,516849000,2747.3,669883000,1,19-Feb-18,1.2408,19-Feb-18,"1,347.80",1-Mar-18,26.4,2/7/2018,45.200001,37508400
33,2/22/2018,6.00,36,32,13,0,0,4,45.799999,16946400,21.39,12152000,153.18,5479000,51.36,3675000,85.53,3133000,24962.48,114401000,7210.085,510057000,2703.96,571607000,1,16-Feb-18,1.2406,18-Feb-18,"1,350.50",28-Feb-18,26.57,2/6/2018,44.91,58145400
34,2/21/2018,5.00,0,0,18,16,23,6,45.939999,27527500,21.17,11649000,153.96,4891000,51.44,2920000,85.67,3273000,24797.78,99078000,7218.228,548409000,2701.33,632362000,1,15-Feb-18,1.2506,16-Feb-18,"1,356.20",27-Feb-18,26.52,2/5/2018,44.220001,47869000
35,2/20/2018,4.00,18,0,22,0,0,3,46.32,25512000,21.39,12508000,155.16,5881000,52.12,3380000,86.46,2943000,24964.75,149694000,7234.308,443025000,2716.26,538762000,1,14-Feb-18,1.245,15-Feb-18,"1,355.30",26-Feb-18,26.5,2/2/2018,45.839016,28663000
39,2/16/2018,7.00,37,0,23,34,0,7,45.560001,21475200,21.4,16751000,156.18,6779000,51.42,4588000,84.91,4629000,25219.38,179771000,7239.465,794937000,2732.22,986284000,1,8-Feb-18,1.2247,9-Feb-18,"1,315.70",20-Feb-18,26.695,1/29/2018,49.643208,46304000
40,2/15/2018,6.00,18,16,23,34,24,7,45.919998,23536800,21.45,11839000,156.01,6149000,51.52,6043000,84.54,3792000,25200.37,146600000,7256.43,672829000,2731.2,880613000,1,7-Feb-18,1.2264,8-Feb-18,"1,319.00",16-Feb-18,26.7,1/26/2018,49.742535,86916100
41,2/14/2018,5.00,0,0,27,50,24,8,45.380001,19922000,21.29,20440000,154.76,9868000,51.37,9557000,83.33,3738000,24893.49,231378000,7143.615,579640000,2698.63,766057000,1,6-Feb-18,1.2377,7-Feb-18,"1,314.60",15-Feb-18,26.7,1/25/2018,44.994743,36758700
42,2/13/2018,4.00,18,0,18,17,0,5,44.459999,19517600,20.58,13314000,150.75,8747000,49.63,7359000,82.97,4836000,24640.45,210835000,7013.51,790176000,2662.94,766057000,1,5-Feb-18,1.2368,6-Feb-18,"1,329.50",14-Feb-18,26.51,1/24/2018,45.203327,32464200
43,2/12/2018,3.00,0,0,36,17,0,5,44.830002,28379500,20.41,9163000,151.4,5252000,49.17,6567000,82.34,5205000,24601.27,140879000,6981.964,761179000,2656,766057000,1,2-Feb-18,1.2462,5-Feb-18,"1,336.50",13-Feb-18,26.321,1/23/2018,45.749622,22135100
46,2/9/2018,7.00,38,50,32,17,0,11,43.950001,49301100,20.11,13705000,149.51,4073000,47.82,5110000,80.59,3555000,24190.9,140120000,6874.491,539312000,2619.55,623002000,1,30-Jan-18,1.2402,31-Jan-18,"1,343.10",8-Feb-18,26.61,1/18/2018,44.180267,26826500
47,2/8/2018,6.00,54,65,36,17,24,7,42.75,43151300,19.92,7973000,147.59,4902000,47.44,7756000,80.09,8524000,23860.46,111859000,6777.159,613952000,2581,815231000,1,29-Jan-18,1.2383,30-Jan-18,"1,340.00",7-Feb-18,26.76,1/17/2018,44.090874,32368600
48,2/7/2018,5.00,44,16,18,33,0,8,45.200001,37508400,21.21,7036000,153.85,3517000,49.55,8941000,83.71,4731000,24893.35,110920000,7051.983,506262000,2681.66,600918000,1,26-Jan-18,1.2421,29-Jan-18,"1,345.10",6-Feb-18,26.9,1/16/2018,42.8493,38367200
49,2/6/2018,4.00,27,32,13,49,23,12,44.91,58145400,21.43,8113000,155.34,3788000,48.68,7319000,84.25,5005000,24912.77,123611000,7115.882,486626000,2695.14,544693000,1,25-Jan-18,1.2396,26-Jan-18,"1,357.20",5-Feb-18,26.7976,1/12/2018,42.948627,29973600
50,2/5/2018,3.00,54,0,18,17,23,11,44.220001,47869000,21.29,7274000,152.53,3303000,49.65,3618000,81.45,8188000,24345.75,95732000,6967.526,485316000,2648.94,569404000,1,24-Jan-18,1.2408,25-Jan-18,"1,368.00",2-Feb-18,26.94,1/11/2018,43.117481,35371500
53,2/2/2018,7.00,37,0,5,51,0,6,45.839016,28663000,22.48,7840000,159.03,7466000,51.77,3192000,85.25,4697000,25520.96,109272000,7240.946,520751000,2762.13,609308000,1,19-Jan-18,1.2222,22-Jan-18,"1,336.90",30-Jan-18,26.988,1/8/2018,44.438519,33733800
54,2/1/2018,6.00,90,16,23,33,0,7,47.328911,28840400,23.3,9151000,162.4,8481000,54.44,3592000,87.65,3081000,26186.71,126358000,7385.863,473160000,2821.98,545995000,1,18-Jan-18,1.2239,19-Jan-18,"1,333.10",29-Jan-18,26.94,1/5/2018,44.438519,41824000
55,1/31/2018,5.00,18,16,18,0,0,9,47.815605,41619900,23.32,11551000,163.7,21172000,55.2,3871000,88.98,4534000,26149.39,171541000,7411.482,501597000,2823.81,603358000,1,17-Jan-18,1.2186,18-Jan-18,"1,327.20",26-Jan-18,26.964,1/4/2018,44.130608,89209100
56,1/30/2018,4.00,36,32,26,16,0,4,48.461227,32814600,23.44,12277000,163.62,14259000,54.98,3982000,87.08,3939000,26076.89,122471000,7402.482,512605000,2822.43,753915000,1,16-Jan-18,1.2261,17-Jan-18,"1,339.20",25-Jan-18,26.95,1/3/2018,44.955013,116479000
57,1/29/2018,3.00,36,16,27,16,0,11,49.643208,46304000,23.81,11151000,166.8,11710000,55.11,4114000,87.45,4604000,26439.48,133700000,7466.505,464908000,2853.53,592317000,1,15-Jan-18,1.2263,16-Jan-18,"1,337.10",24-Jan-18,26.77,1/2/2018,46.534298,23370800
60,1/26/2018,7.00,47,33,9,17,0,25,49.742535,86916100,23.91,8822000,167.34,5032000,54.94,7747000,89.6,5574000,26616.71,103879000,7505.772,578037000,2872.87,711574000,1,10-Jan-18,1.1947,12-Jan-18,"1,334.90",19-Jan-18,26.71,12/27/2017,45.799286,13359700
61,1/25/2018,6.00,0,32,27,17,0,12,44.994743,36758700,23.32,8356000,165.47,3794000,53.17,6247000,87.99,2991000,26392.79,90362000,7411.164,464815000,2839.25,583104000,1,9-Jan-18,1.1937,11-Jan-18,"1,322.50",18-Jan-18,26.75,12/26/2017,45.769489,15533300
62,1/24/2018,5.00,0,0,31,49,0,12,45.203327,32464200,23.66,8443000,165.37,4174000,52.97,3809000,86.97,3822000,26252.12,88373000,7415.059,457219000,2837.54,493748000,1,8-Jan-18,1.1967,10-Jan-18,"1,319.30",17-Jan-18,26.62,12/22/2017,46.385311,33913500
63,1/23/2018,4.00,53,16,22,16,0,8,45.749622,22135100,23.81,7859000,166.25,4342000,54.06,10500000,87.34,4941000,26210.81,88522000,7460.289,457484000,2839.13,529856000,1,5-Jan-18,1.203,9-Jan-18,"1,313.70",16-Jan-18,26.66,12/21/2017,46.444904,42963500
64,1/22/2018,3.00,44,16,31,0,0,8,45.441711,27706800,23.85,5770000,162.6,5238000,53.16,23461000,86.24,3811000,26214.6,97612000,7408.032,492018000,2832.97,509578000,1,4-Jan-18,1.2068,8-Jan-18,"1,320.40",12-Jan-18,26.64,12/20/2017,47.239517,40935000
67,1/19/2018,7.00,28,67,37,34,0,5,44.517979,25780200,23.7,7654000,162.37,7556000,52.62,2825000,85.6,2727000,26071.72,101492000,7336.38,476963000,2810.3,534970000,1,1-Jan-18,1.201,3-Jan-18,"1,318.50",9-Jan-18,26.3898,12/15/2017,44.259731,47477000
68,1/18/2018,6.00,18,32,23,67,0,9,44.180267,26826500,23.29,5958000,169.12,9442000,52.01,3446000,86.4,5173000,26017.81,113226000,7296.047,494453000,2798.03,561304000,1,29-Dec-17,1.1998,2-Jan-18,"1,316.10",8-Jan-18,26.4,12/14/2017,42.968491,19644900
69,1/17/2018,5.00,18,48,53,49,0,7,44.090874,32368600,23.46,6457000,168.65,4203000,52.14,2888000,85.16,3253000,26115.65,93866000,7298.279,484506000,2802.56,540193000,1,28-Dec-17,1.1943,1-Jan-18,"1,308.70",5-Jan-18,26.39,12/13/2017,43.047951,21399500
70,1/16/2018,4.00,35,32,18,0,47,7,42.8493,38367200,22.88,5204000,163.85,3327000,51.51,1866000,83.88,3894000,25792.86,99507000,7223.686,462548000,2776.42,513864000,1,27-Dec-17,1.1888,29-Dec-17,"1,309.30",4-Jan-18,26.39,12/12/2017,43.038021,16557400
74,1/12/2018,7.00,19,34,33,35,25,13,42.948627,29973600,22.92,7605000,163.14,2149000,51.26,1935000,83.12,2303000,25803.19,60502000,7261.062,293310000,2786.24,296035000,1,21-Dec-17,1.1873,25-Dec-17,"1,277.90",28-Dec-17,26.37,12/6/2017,43.157211,27710800
75,1/11/2018,6.00,37,48,27,68,24,14,43.117481,35371500,22.41,3015000,164.2,2479000,49.005,2969000,82.25,2633000,25574.73,59978000,7211.777,316353000,2767.56,335290000,1,20-Dec-17,1.1871,22-Dec-17,"1,278.80",27-Dec-17,26.324,12/5/2017,43.147278,30626900
76,1/10/2018,5.00,0,0,18,34,0,21,42.213612,45735000,22.05,4100000,164.18,2991000,47.07,1714000,80.91,3904000,25369.13,78610000,7153.572,322507000,2748.23,310308000,1,19-Dec-17,1.184,21-Dec-17,"1,270.60",26-Dec-17,26.38,12/4/2017,44.190205,28000800
77,1/9/2018,4.00,36,16,9,100,0,18,43.326065,44282300,21.81,8742000,163.83,4154000,46.39,3425000,80.62,2125000,25385.8,101366000,7163.578,373107000,2751.29,403669000,1,18-Dec-17,1.1782,20-Dec-17,"1,269.60",21-Dec-17,26.3375,12/1/2017,44.378922,26656300
78,1/8/2018,3.00,18,0,18,99,0,19,44.438519,33733800,21.84,7347000,163.47,3786000,46,3323000,81.44,4922000,25283,99129000,7157.386,437000000,2747.71,511566000,1,15-Dec-17,1.1754,19-Dec-17,"1,264.20",20-Dec-17,26.3891,11/30/2017,44.537846,34145300
81,1/5/2018,7.00,19,17,5,0,0,66,44.438519,41824000,21.75,12156000,162.49,5093000,42.94,4629000,82.69,3938000,25295.87,107462000,7136.558,515470000,2743.15,556473000,1,12-Dec-17,1.1742,14-Dec-17,"1,257.10",15-Dec-17,26.28,11/27/2017,44.190205,18202100
82,1/4/2018,6.00,37,17,32,34,24,100,44.130608,89209100,21.53,19023000,161.7,11280000,42.64,6242000,82.17,3880000,25075.13,317293000,7077.915,539878000,2723.99,608529000,1,11-Dec-17,1.1768,13-Dec-17,"1,248.60",14-Dec-17,26.2477,11/24/2017,44.448452,6465800
83,1/3/2018,5.00,19,17,18,0,48,59,44.955013,116479000,21.37,8161000,158.49,4637000,42.85,3302000,82.67,7161000,24922.68,84758000,7065.531,539878000,2713.06,608529000,1,8-Dec-17,1.1764,12-Dec-17,"1,241.70",13-Dec-17,26.2692,11/22/2017,44.349125,19538300
84,1/2/2018,4.00,0,17,28,35,25,4,46.534298,23370800,21.32,9157000,154.25,5662000,42.93,4509000,81.38,3240000,24824.01,93787000,7006.898,496982000,2695.81,529124000,1,7-Dec-17,1.1773,11-Dec-17,"1,246.90",12-Dec-17,26.25,11/21/2017,44.637169,21871000
88,12/29/2017,7.00,0,18,15,19,0,3,45.848949,17394500,21.01,7731000,153.42,4103000,41.84,3741000,79.53,2604000,24719.22,84768000,6903.389,456738000,2673.61,553661000,1,1-Dec-17,1.1891,5-Dec-17,"1,264.90",6-Dec-17,26.2,11/15/2017,45.153664,17157200
89,12/28/2017,6.00,0,72,0,18,0,1,45.908546,9504400,21.15,13822000,154.04,3520000,42.02,5502000,80.64,2511000,24837.51,81472000,6950.161,448730000,2687.54,510557000,1,30-Nov-17,1.1904,4-Dec-17,"1,277.70",5-Dec-17,26.2265,11/14/2017,45.550972,22201200
90,12/27/2017,5.00,0,54,25,0,0,2,45.799286,13359700,21.27,8451000,153.13,3771000,42.11,3725000,80.96,5060000,24774.3,85468000,6939.336,429507000,2682.62,490109000,1,29-Nov-17,1.1847,1-Dec-17,"1,282.30",4-Dec-17,26.1,11/13/2017,45.441711,18999000
91,12/26/2017,4.00,21,0,10,0,0,5,45.769489,15533300,21.23,10032000,152.83,3411000,42.14,2520000,80,2672000,24746.21,94435000,6936.25,476206000,2680.5,526054000,1,28-Nov-17,1.1841,30-Nov-17,"1,276.70",1-Dec-17,26.06,11/10/2017,45.272858,24095400
95,12/22/2017,7.00,0,19,10,0,0,6,46.385311,33913500,21.26,12976000,152.5,4664000,42.17,4593000,80.68,4598000,24754.06,117014000,6959.96,519138000,2683.34,633406000,1,22-Nov-17,1.1822,24-Nov-17,"1,291.80",27-Nov-17,26.085,11/6/2017,46.385311,34035000
96,12/21/2017,6.00,20,0,0,18,26,8,46.444904,42963500,21.25,9910000,151.5,5568000,41.96,5125000,80.83,5711000,24782.29,123385000,6965.361,601266000,2684.57,724763000,1,21-Nov-17,1.1738,23-Nov-17,"1,291.66",24-Nov-17,26.0867,11/3/2017,45.757069,39298100
97,12/20/2017,5.00,29,35,24,0,25,7,47.239517,40935000,21.46,13923000,152.95,6501000,41.53,6783000,82.77,6456000,24726.65,169752000,6960.959,548196000,2679.25,670644000,1,20-Nov-17,1.1732,22-Nov-17,"1,296.80",22-Nov-17,26.117,11/2/2017,46.507511,44602300
98,12/19/2017,4.00,19,34,24,53,50,8,46.723019,41421100,21.42,12113000,153.23,5099000,42.18,6070000,84.24,7171000,24754.75,105160000,6963.851,731192000,2681.47,670644000,1,17-Nov-17,1.1795,21-Nov-17,"1,286.20",21-Nov-17,26.11,11/1/2017,46.122414,47813700
99,12/18/2017,3.00,28,17,9,0,24,6,45.948273,50369300,21.29,10377000,153.33,3974000,42.99,3809000,83.62,7152000,24792.2,87842000,6994.759,586513000,2690.16,653622000,1,16-Nov-17,1.177,20-Nov-17,"1,275.30",20-Nov-17,26,10/31/2017,44.917767,47000900
102,12/15/2017,7.00,39,17,5,18,0,1,44.259731,47477000,20.92,9658000,152.5,1193000,42.02,1340000,81.62,11066000,24651.74,36736000,6936.583,444566000,2675.81,481797000,1,13-Nov-17,1.1667,15-Nov-17,"1,277.70",15-Nov-17,25.773,10/26/2017,40.829842,38247400
103,12/14/2017,6.00,76,51,23,35,0,1,42.968491,19644900,20.74,28425000,154,3214000,41.94,2365000,82.64,937142,24508.66,71067000,6856.525,223147000,2652.01,204380000,1,10-Nov-17,1.1665,14-Nov-17,"1,282.90",13-Nov-17,25.84,10/25/2017,40.26701,24031700
104,12/13/2017,5.00,37,16,18,0,24,2,43.047951,21399500,20.85,17553000,153.91,3756000,42.08,3848000,83.63,2234000,24585.43,92497000,6875.799,386923000,2662.85,421544000,1,9-Nov-17,1.1642,13-Nov-17,"1,278.90",9-Nov-17,25.6,10/24/2017,40.434872,19652400
105,12/12/2017,4.00,37,16,9,17,0,5,43.038021,16557400,20.98,11872000,156.74,5676000,42.12,3993000,81.77,3077000,24504.8,80005000,6862.317,466091000,2664.11,505692000,1,8-Nov-17,1.1595,10-Nov-17,"1,274.20",8-Nov-17,25.84,10/23/2017,40.316383,28647000
106,12/11/2017,3.00,18,49,0,0,24,4,43.365795,20425900,21.3,10640000,155.41,4917000,40.47,3155000,81.2,2666000,24386.03,106205000,6875.078,438100000,2659.99,466385000,1,7-Nov-17,1.1586,9-Nov-17,"1,287.50",7-Nov-17,25.85,10/20/2017,39.921417,18335700
109,12/8/2017,7.00,19,35,5,0,0,3,43.057884,23154700,21.07,12655000,154.81,4773000,40.49,3497000,81.47,2349000,24329.16,97936000,6840.081,477386000,2651.5,498027000,1,2-Nov-17,1.1658,6-Nov-17,"1,281.60",2-Nov-17,26,10/17/2017,39.289467,15532800
110,12/7/2017,6.00,19,17,19,34,0,7,42.789707,32708400,20.97,11628000,153.57,3758000,39.58,2599000,78.35,3573000,24211.48,123260000,6812.841,457570000,2636.98,522600000,1,1-Nov-17,1.1619,3-Nov-17,"1,269.20",1-Nov-17,25.99,10/16/2017,39.259842,12489100
111,12/6/2017,5.00,18,0,0,17,0,5,43.157211,27710800,21.02,4922000,154.1,5108000,39.18,2306000,77.86,5247000,24140.91,109022000,6776.375,463441000,2629.27,534119000,1,31-Oct-17,1.1646,2-Nov-17,"1,278.10",31-Oct-17,26.04,10/13/2017,39.170971,16829400
112,12/5/2017,4.00,37,81,32,0,0,7,43.147278,30626900,21.07,6277000,155.35,4307000,39.13,3012000,78.56,2145000,24180.64,88393000,6762.213,463240000,2629.57,509487000,1,30-Oct-17,1.1651,1-Nov-17,"1,277.30",30-Oct-17,26.06,10/12/2017,38.69701,18286900
113,12/4/2017,3.00,64,0,4,0,0,3,44.190205,28000800,21.08,5845000,156.46,4777000,39.2,4350000,77.11,3226000,24290.05,79692000,6775.366,464826000,2639.44,514541000,1,27-Oct-17,1.161,31-Oct-17,"1,270.50",27-Oct-17,26.0575,10/11/2017,38.80563,30754700
116,12/1/2017,7.00,19,35,24,35,50,2,44.378922,26656300,21.41,6246000,154.76,3701000,39.11,2842000,79.36,2778000,24231.59,76941000,6847.586,509994000,2642.22,509992000,1,24-Oct-17,1.1761,26-Oct-17,"1,269.60",24-Oct-17,25.9557,10/6/2017,39.131481,18887500
117,11/30/2017,6.00,0,33,14,0,0,2,44.537846,34145300,21.45,13310000,153.97,4499000,38.56,3187000,78.86,3638000,24272.35,87868000,6873.973,531577000,2647.58,546662000,1,23-Oct-17,1.1749,25-Oct-17,"1,279.00",23-Oct-17,25.9096,10/5/2017,39.032734,17710300
118,11/29/2017,5.00,27,49,14,17,24,4,43.653843,27036900,21.43,7710000,153.55,4432000,38.75,2280000,81,3084000,23940.68,78599000,6824.34,525025000,2626.07,563277000,1,20-Oct-17,1.1785,24-Oct-17,"1,278.30",19-Oct-17,25.8438,10/4/2017,38.845127,28368800
119,11/28/2017,4.00,18,0,5,17,0,4,44.428585,20194100,21.66,14765000,152.47,3398000,39.98,2745000,86.89,2943000,23836.71,87302000,6912.358,521723000,2627.04,522406000,1,19-Oct-17,1.1852,23-Oct-17,"1,280.90",18-Oct-17,25.84,10/3/2017,38.884624,34002200
120,11/27/2017,3.00,18,64,9,0,0,5,44.190205,18202100,21.25,8814000,151.98,3240000,39.08,2784000,86.55,2606000,23580.78,90304000,6878.521,534416000,2601.42,588411000,1,18-Oct-17,1.1787,20-Oct-17,"1,280.50",17-Oct-17,25.8,10/2/2017,38.548904,37394500
123,11/24/2017,7.00,0,0,5,18,0,3,44.448452,6465800,21.24,7460000,151.84,4210000,40.29,5870000,92.78,5661000,23557.99,107582000,6889.16,511204000,2602.42,625261000,1,13-Oct-17,1.1823,17-Oct-17,"1,286.20",12-Oct-17,25.6881,9/27/2017,37.067772,25981400
125,11/22/2017,5.00,0,100,0,0,0,5,44.349125,19538300,21.34,20421000,151.77,4895000,40.33,5297000,92.91,5142000,23526.18,127750000,6867.361,479333000,2597.08,569442000,1,11-Oct-17,1.1859,13-Oct-17,"1,304.60",10-Oct-17,25.8128,9/25/2017,36.692551,23180800
126,11/21/2017,4.00,18,82,23,34,0,5,44.637169,21871000,22.46,17010000,151.95,4301000,40.14,4276000,92.35,7785000,23590.83,89232000,6862.477,567206000,2599.03,645608000,1,10-Oct-17,1.1806,12-Oct-17,"1,296.50",9-Oct-17,25.72,9/22/2017,36.712299,21631800
127,11/20/2017,3.00,46,33,9,34,0,5,44.319324,22420000,22.12,13378000,150.51,6921000,39.85,7431000,90.88,4320000,23430.33,102613000,6790.714,497738000,2582.14,563773000,1,9-Oct-17,1.1741,11-Oct-17,"1,288.90",6-Oct-17,25.58,9/21/2017,36.732048,22954200
130,11/17/2017,7.00,0,0,29,0,25,5,44.329258,63798000,21.75,8678000,148.97,5779000,39.42,33601000,91.3,2582000,23358.24,109474000,6782.791,422897000,2578.85,504319000,1,4-Oct-17,1.176,6-Oct-17,"1,274.90",3-Oct-17,25.7328,9/18/2017,36.534561,19393800
131,11/16/2017,6.00,18,50,14,0,0,8,45.342388,26439400,21.57,8621000,149.12,7869000,39.12,8315000,91.21,4800000,23458.36,128229000,6793.291,417960000,2585.64,515870000,1,3-Oct-17,1.1744,5-Oct-17,"1,273.20",2-Oct-17,25.54,9/15/2017,36.534561,33596100
132,11/15/2017,5.00,37,0,9,17,0,5,45.153664,17157200,21.36,10248000,147.1,9914000,37.81,4363000,90.36,2765000,23271.28,86238000,6706.208,457653000,2564.62,631305000,1,2-Oct-17,1.1732,4-Oct-17,"1,276.80",29-Sep-17,25.74,9/14/2017,36.021103,18093900
133,11/14/2017,4.00,18,33,9,17,0,5,45.550972,22201200,21.36,7611000,148.89,30490000,37.49,3732000,91.58,2097000,23409.47,64881000,6737.872,425194000,2578.87,475108000,1,29-Sep-17,1.1814,3-Oct-17,"1,274.60",28-Sep-17,25.66,9/13/2017,35.872993,15509800
134,11/13/2017,3.00,18,33,14,17,0,4,45.441711,18999000,21.17,7137000,148.4,6372000,37.66,5937000,88.44,3463000,23439.7,65936000,6757.595,390882000,2584.84,426160000,1,28-Sep-17,1.1786,2-Oct-17,"1,275.80",27-Sep-17,25.5609,9/12/2017,35.636009,19489900
137,11/10/2017,7.00,29,35,14,0,0,7,45.272858,24095400,21.23,27017000,149.16,2507000,37.99,4179000,88.92,2694000,23422.21,74683000,6750.939,374366000,2582.3,436333000,1,25-Sep-17,1.1848,27-Sep-17,"1,287.80",21-Sep-17,25.5492,9/7/2017,35.09293,16297100
138,11/9/2017,6.00,0,0,9,17,0,11,45.988003,25570400,21.34,9085000,150.3,3264000,37.41,5111000,87.63,5325000,23461.94,76256000,6750.053,418308000,2584.62,498032000,1,22-Sep-17,1.1954,26-Sep-17,"1,301.70",20-Sep-17,25.4667,9/6/2017,35.310162,28076400
139,11/8/2017,5.00,0,50,23,17,24,4,46.385311,21565800,21.42,8402000,151.57,3702000,37.71,3611000,87.12,2161000,23563.36,86708000,6789.118,476788000,2594.38,548845000,1,21-Sep-17,1.1941,25-Sep-17,"1,311.50",19-Sep-17,25.5,9/5/2017,34.579472,18772000
140,11/7/2017,4.00,0,16,5,0,0,10,46.464771,24461400,21.38,6676000,151.35,4033000,37.12,5238000,86.09,2920000,23557.23,78345000,6767.783,429708000,2590.64,486226000,1,20-Sep-17,1.1893,22-Sep-17,"1,297.50",18-Sep-17,25.375,9/1/2017,34.64859,12822000
141,11/6/2017,3.00,37,33,14,17,0,10,46.385311,34035000,21.44,5615000,150.84,2683000,37.46,3679000,87.85,3800000,23548.42,74919000,6786.436,401986000,2591.13,429348000,1,19-Sep-17,1.1994,21-Sep-17,"1,294.80",15-Sep-17,25.4,8/31/2017,34.628838,16366800
